time_s,ax,ay,az,gx,gy,gz,mx,my,mz
2.595748,1.193092,0.521718,9.717772,-0.732422,-3.051758,0.000000,-5.180811,-7.941784,-72.163444
2.614382,1.297430,0.530752,9.742701,-2.502441,-11.352539,0.000000,-4.012804,-7.711190,-71.933763
2.633555,1.288357,0.700141,9.658849,-2.624512,-12.695312,-0.366211,-4.947210,-9.094753,-73.311852
2.652769,1.546936,1.070537,10.313801,-0.732422,-0.610352,-7.324219,-6.816022,-7.711190,-71.474400
2.671995,1.519717,0.365880,10.107570,-0.488281,-0.610352,-4.455566,-7.516827,-7.480596,-71.704081
2.691163,1.354136,1.239926,9.971594,-0.061035,-0.488281,2.136230,-4.713608,-8.402972,-72.163444
2.710121,1.215774,0.063238,9.067352,-0.122070,-1.464844,3.417969,-3.779202,-7.019408,-72.622807
2.729118,1.186287,0.225852,9.470748,-0.549316,-2.075195,-0.549316,-4.246405,-8.864160,-72.622807
2.748643,1.213506,0.846944,9.964795,0.976562,2.685547,-1.647949,-5.881616,-8.633566,-73.771215
2.768212,1.261139,0.302641,9.749499,0.366211,1.342773,-1.708984,-6.582420,-7.019408,-72.163444
2.788185,1.492499,0.734018,9.951198,-0.122070,0.976562,-0.488281,-4.947210,-8.172378,-72.852489
2.808349,1.179482,0.320710,9.153470,0.244141,-1.098633,0.427246,-3.779202,-8.864160,-73.082170
2.828131,1.558277,0.406533,10.390854,0.183105,-0.732422,-0.915527,-3.078397,-7.250002,-73.771215
2.847703,1.236188,0.932768,9.407292,0.061035,-0.610352,-1.464844,-4.246405,-9.325347,-73.541533
2.867297,1.404037,0.659487,9.509275,-0.122070,0.244141,-1.342773,-5.881616,-6.788814,-71.474400
2.886409,1.617251,0.442669,10.001055,0.061035,1.037598,-1.770020,-7.516827,-7.941784,-72.622807
2.905990,1.143190,0.056463,10.714931,-0.427246,-3.356934,-3.112793,-6.115217,-9.325347,-73.082170
2.925951,1.980169,0.695623,9.960263,-0.732422,1.281738,-0.122070,-5.414413,-9.094753,-75.608667
2.945674,1.249797,0.537527,9.053754,-0.427246,1.342773,-2.197266,-5.648014,-8.402972,-74.460259
2.965011,1.558277,0.862754,10.508700,-0.427246,1.159668,-4.272461,-5.414413,-7.250002,-74.230578
2.984520,1.658080,1.099898,9.108145,-0.549316,6.835938,-2.197266,-6.816022,-8.633566,-75.149304
3.003804,1.202164,0.616575,8.901914,-0.854492,-1.525879,-5.249023,-6.115217,-7.941784,-74.919622
3.022623,1.306503,0.182940,9.765363,-0.671387,-4.943848,-3.662109,-5.881616,-7.250002,-73.771215
3.042294,1.551473,0.431377,10.554026,0.427246,2.502441,-1.403809,-4.713608,-9.786535,-73.082170
3.061428,1.984706,0.162613,11.317759,0.366211,2.746582,-1.342773,-7.984030,-6.558221,-73.541533
3.080641,1.283821,1.005040,9.688310,-0.671387,-2.990723,-3.479004,-7.049624,-8.864160,-74.460259
3.100209,1.410842,0.548820,10.393120,0.122070,-4.150391,0.549316,-6.582420,-7.480596,-74.000896
3.120585,1.440329,-0.004517,10.037316,0.366211,1.159668,-2.319336,-6.115217,-7.941784,-74.919622
3.140467,1.288357,0.027102,9.688310,-0.122070,1.281738,-2.380371,-7.516827,-8.402972,-73.541533
3.160037,2.120800,0.404275,11.523990,-0.244141,0.549316,-1.647949,-5.414413,-7.711190,-73.771215
3.179695,1.637666,0.298124,10.751191,-0.244141,-1.464844,-2.685547,-4.713608,-7.941784,-74.460259
3.198853,1.147727,0.932768,9.169334,-0.427246,-3.967285,-3.417969,-8.684834,-7.250002,-73.771215
3.218270,1.898513,0.912441,9.957996,0.366211,4.150391,-1.525879,-6.115217,-8.864160,-75.378985
3.237514,1.642202,0.487840,9.935334,0.793457,2.685547,-0.488281,-6.582420,-10.247723,-74.460259
3.256711,1.016169,0.307158,9.731369,0.366211,1.953125,-0.427246,-6.348819,-7.711190,-75.149304
3.275510,1.286089,0.612058,9.797091,-0.061035,-2.319336,0.427246,-6.115217,-7.480596,-74.919622
3.295510,1.551473,0.968904,8.312683,0.610352,6.225586,4.028320,-9.152037,-8.633566,-74.230578
3.315066,1.338259,0.444928,9.479813,0.305176,-1.159668,0.915527,-7.049624,-8.402972,-75.838348
3.334553,1.413110,0.169389,9.849215,0.549316,-0.122070,1.892090,-7.283225,-7.711190,-76.068030
