time_s,ax,ay,az,gx,gy,gz,mx,my,mz
2.819745,1.397233,0.526235,9.763097,-0.122070,-0.122070,-0.183105,19.113748,15.578794,-68.947903
2.836450,1.367746,0.501391,9.810689,-0.183105,0.061035,-0.061035,20.281756,14.425824,-70.096311
2.853014,1.345063,0.492357,9.778961,-0.122070,0.183105,-0.122070,20.982561,14.656418,-69.407266
2.870148,1.367746,0.530752,9.799357,0.061035,0.122070,-0.061035,20.748959,14.887012,-69.177585
2.886857,1.392696,0.542044,9.803890,0.122070,-0.183105,-0.061035,22.384170,14.656418,-70.785355
2.903814,1.381355,0.535269,9.765363,0.000000,-0.061035,-0.061035,19.814553,15.348200,-67.799496
2.920552,1.308772,0.521718,9.772162,-0.122070,0.061035,0.000000,20.048154,16.039982,-68.029177
2.937666,1.417647,0.566888,9.747233,0.000000,0.122070,0.000000,20.281756,13.503449,-69.636948
2.954840,1.363209,0.514942,9.806156,-0.122070,0.000000,0.061035,20.048154,15.117606,-70.325992
2.971946,1.317844,0.469772,9.674712,-0.183105,0.061035,-0.061035,18.646545,14.656418,-69.866629
2.988222,1.326917,0.533010,9.828819,-0.122070,0.244141,0.122070,21.683365,15.348200,-69.177585
3.005158,1.365477,0.514942,9.783493,-0.183105,0.122070,-0.122070,16.544131,14.425824,-68.718222
3.022048,1.401769,0.485581,9.611257,-0.061035,-0.244141,0.122070,20.515357,16.962357,-69.866629
3.038763,1.426720,0.519459,9.810689,-0.122070,-0.061035,0.000000,19.580951,15.578794,-72.163444
3.055897,0.696348,1.090864,9.812955,-0.488281,0.732422,-1.892090,21.683365,15.809388,-69.177585
3.072599,0.957195,0.758862,9.686044,-2.136230,1.037598,-21.484375,20.281756,14.425824,-70.096311
3.089717,1.394964,0.411050,10.109837,-0.061035,-0.732422,0.427246,20.281756,17.654139,-70.555674
3.106774,2.104922,-0.275539,9.717772,-0.915527,0.610352,-7.934570,19.580951,15.117606,-69.866629
3.123602,1.748809,0.433635,9.765363,-0.061035,0.366211,-0.122070,21.449764,15.117606,-68.029177
3.139700,1.438061,0.551078,9.785760,-0.061035,0.061035,-0.244141,22.384170,16.501170,-69.866629
3.156364,1.265675,0.591732,9.826553,-0.244141,0.244141,-0.976562,19.580951,15.578794,-68.488540
